City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Pune,296.8822327,296.8822327,12-2014
Ahmedabad,293.8258057,292.3919373,01-2015
Bangalore,297.1741943,295.0354614,01-2015
Bhopal,291.2032166,290.3572388,01-2015
Bhubaneswar,290.7911072,290.7911072,01-2015
Chennai,296.6056213,296.6056213,01-2015
Delhi,290.6120911,290.6120911,01-2015
Hyderabad,294.9217529,293.8999939,01-2015
Jaipur,290.045166,290.045166,01-2015
Kolkata,294.4467773,293.7806396,01-2015
Mumbai,296.8540344,296.8540344,01-2015
Pune,296.8540344,296.8540344,01-2015
Ahmedabad,297.59552,297.3723145,02-2015
Bangalore,298.6928406,297.0508728,02-2015
Bhopal,296.2035522,295.6856995,02-2015
Bhubaneswar,295.1607056,295.1607056,02-2015
Chennai,297.1080322,297.1080322,02-2015
Delhi,293.7615967,293.7615967,02-2015
Hyderabad,297.9767761,297.8160706,02-2015
Jaipur,294.1973267,294.1973267,02-2015
Kolkata,297.5910645,296.9321289,02-2015
Mumbai,298.783905,298.783905,02-2015
Pune,298.783905,298.783905,02-2015
Ahmedabad,299.9112854,299.7161255,03-2015
Bangalore,300.2145081,300.1338501,03-2015
Bhopal,298.7701416,298.0282288,03-2015
Bhubaneswar,298.1266174,298.1266174,03-2015
Chennai,300.2241821,300.2241821,03-2015
Delhi,294.9822388,294.9822388,03-2015
Hyderabad,300.807251,300.3023987,03-2015
Jaipur,296.3806458,296.3806458,03-2015
Kolkata,301.2056274,300.2886963,03-2015
Mumbai,300.566925,300.566925,03-2015
Pune,300.566925,300.566925,03-2015
Ahmedabad,305.6766663,305.3066711,04-2015
Bangalore,300.3933105,300.2566528,04-2015
Bhopal,303.0849915,302.8116455,04-2015
Bhubaneswar,302.2024841,302.2024841,04-2015
Chennai,301.2683411,301.2683411,04-2015
Delhi,301.7041626,301.7041626,04-2015
Hyderabad,303.3091736,302.2366638,04-2015
Jaipur,302.7058411,302.7058411,04-2015
Kolkata,302.5458374,302.4291687,04-2015
Mumbai,302.0691528,302.0691528,04-2015
Pune,302.0691528,302.0691528,04-2015
Ahmedabad,308.3992004,308.3008118,05-2015
Bangalore,303.4661255,301.2451477,05-2015
Bhopal,308.1871033,307.4628906,05-2015
Bhubaneswar,306.3653259,306.3653259,05-2015
Chennai,305.0975647,305.0975647,05-2015
Delhi,306.8677368,306.8677368,05-2015
Hyderabad,308.2112732,306.9241943,05-2015
Jaipur,307.6636963,307.6636963,05-2015
Kolkata,304.9161377,304.9136963,05-2015
Mumbai,304.7145081,304.7145081,05-2015
Pune,304.7145081,304.7145081,05-2015
Ahmedabad,308.1625061,306.6833191,06-2015
Bangalore,300.0858154,298.1900024,06-2015
Bhopal,304.4974976,303.9008179,06-2015
Bhubaneswar,301.7649841,301.7649841,06-2015
Chennai,303.8924866,303.8924866,06-2015
Delhi,308.4824829,308.4824829,06-2015
Hyderabad,302.1433411,300.8108215,06-2015
Jaipur,307.3399963,307.3399963,06-2015
Kolkata,303.3599854,302.2841492,06-2015
Mumbai,301.0099792,301.0099792,06-2015
Pune,301.0099792,301.0099792,06-2015
Ahmedabad,303.8161316,301.1088562,07-2015
